t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
12,0.41624284,0.16148852,0.27402756,0.23647694,0.3838861,0.34387752,0.35673842,0.38510853,0.422293,0.44274217,0.44781548,0.46630237,0.34857914
13,0.32698214,0.033456486,0.32260078,0.26725227,0.29830843,0.2737501,0.28805983,0.31142288,0.35172227,0.37440854,0.36715066,0.39692912,0.19101866
14,0.6688341,0.0032463095,0.35587782,0.23377982,0.64283746,0.5747999,0.61489636,0.6267885,0.64048415,0.66099334,0.6291866,0.67000973,0.28673804
15,0.5898291,0.1375376,0.25031462,0.24541895,0.56164813,0.51160634,0.5489538,0.56739277,0.5957036,0.61211306,0.59607875,0.6233564,0.38806906
16,0.14848503,0.0019130317,0.23501724,0.13858262,0.1182202,0.1054445,0.10208086,0.14715803,0.2178382,0.2461976,0.25775695,0.28501782,0.13718334
17,0.13858134,0.02016914,0.15587589,0.090212636,0.11554137,0.10227865,0.08277089,0.116090156,0.21135561,0.2454731,0.24266146,0.26725322,0.10055486
18,0.13522787,0.0019646373,0.2110824,0.102128066,0.10348935,0.09934687,0.066646665,0.12009156,0.28880662,0.34497544,0.3487872,0.38362327,0.12572695
19,0.12912029,0.0013020016,0.17990644,0.07799241,0.09961554,0.093496144,0.05819266,0.1079799,0.28141892,0.34076634,0.3400306,0.37560073,0.11251947
20,0.11809766,0.006163824,0.172689,0.077505775,0.09006589,0.0902264,0.05523338,0.107533865,0.32443964,0.40153906,0.4023276,0.43539733,0.15910202
21,0.1314545,0.00095356547,0.17810042,0.07684266,0.104352295,0.10301693,0.06518399,0.115572765,0.33106962,0.40818712,0.39202103,0.4438229,0.09873019
22,0.15880385,0.012411947,0.18550742,0.09321297,0.13440667,0.12846875,0.09678741,0.14603096,0.3618598,0.44934872,0.43218932,0.48799258,0.13661104
23,0.13291822,0.0010694537,0.18418507,0.07735882,0.10128034,0.098762825,0.05933578,0.11366032,0.35474053,0.44618985,0.4374856,0.49045962,0.12913318
24,0.23450254,0.032957695,0.17249815,0.11403421,0.19854699,0.17843015,0.15756156,0.18835415,0.3160322,0.36719584,0.35619864,0.39207453,0.15721826
25,0.8214939,0.0031552336,0.5595317,0.36760226,0.8131662,0.77574635,0.82256687,0.8132707,0.8351173,0.86673313,0.8295716,0.88031775,0.31370187
26,0.1361324,0.001194829,0.28959107,0.16000736,0.11349127,0.10478997,0.10554352,0.13610521,0.2119109,0.25553742,0.25978917,0.3047853,0.067636386
27,0.12911047,0.0028283154,0.31577688,0.18708357,0.105607025,0.10192621,0.10739183,0.14001869,0.21503267,0.25172526,0.2543525,0.29521948,0.08332588
28,0.8907961,0.0922913,0.40108928,0.3057346,0.8393227,0.79214823,0.84836024,0.86660117,0.88477093,0.9144471,0.8568421,0.9241992,0.53877664
29,0.93075883,0.18692623,0.29492205,0.27982345,0.9135632,0.8633536,0.9097241,0.91875744,0.9249781,0.9439099,0.92457646,0.9430141,0.6549622
30,0.28068346,0.027240492,0.34164646,0.21118464,0.2393023,0.22482128,0.21645847,0.23565295,0.32752964,0.38667533,0.37338698,0.42841077,0.11050692
31,0.1364037,0.0012928899,0.2592482,0.1421427,0.10684754,0.09558906,0.08453121,0.111658275,0.20052324,0.23802797,0.23338997,0.27262095,0.059080422
32,0.4047467,0.017711468,0.37296167,0.27104026,0.35493287,0.35008794,0.3730428,0.39013946,0.43378592,0.46022752,0.43504328,0.47988886,0.27451172
33,0.13019921,0.0013902211,0.25913748,0.1417427,0.104825914,0.0934491,0.08735012,0.113208,0.1882475,0.22573482,0.22052316,0.2618518,0.051749896
34,0.14334008,0.012828565,0.24494642,0.14390053,0.11328772,0.10113242,0.08916749,0.11438376,0.18946174,0.22334814,0.22150888,0.25502032,0.06724892
35,0.24777743,0.024290117,0.18365845,0.14021167,0.22973989,0.19841246,0.19374385,0.19885747,0.22763526,0.24558526,0.24183883,0.25697407,0.10315142
36,0.13831228,0.0016063178,0.14920239,0.07855033,0.104441494,0.08280648,0.06613534,0.08763188,0.14429246,0.16474378,0.17117767,0.18636996,0.07324539
37,0.15787323,0.01491397,0.2022745,0.112633504,0.12256999,0.10522306,0.08993874,0.11770202,0.18831143,0.21524754,0.21046491,0.24305041,0.06678259
38,0.31383693,0.13390256,0.25856072,0.20509273,0.2847201,0.26294675,0.2625095,0.29009667,0.35332817,0.38256744,0.37527484,0.40635732,0.23929775
39,0.15039165,0.0011929942,0.21925901,0.10707717,0.114586405,0.09255313,0.08017548,0.10757617,0.18114969,0.21601687,0.217468,0.25801545,0.05548113
40,0.52702934,0.13315213,0.36308178,0.33863688,0.50647664,0.45803234,0.48729366,0.49436653,0.52060926,0.54245836,0.5160052,0.5544333,0.29176515
41,0.50926924,0.010343808,0.40480602,0.2656003,0.49215585,0.46340832,0.4917801,0.49657223,0.5224868,0.5407855,0.5255157,0.5546195,0.23188874
42,0.5724964,0.012307297,0.4765986,0.37615988,0.5394428,0.49029335,0.520476,0.5176975,0.5374643,0.56812423,0.5332917,0.58433735,0.15238361
43,0.8540437,0.23880482,0.24778813,0.25585783,0.8149167,0.7477006,0.8089128,0.8330949,0.8426726,0.857564,0.8278641,0.86406547,0.60733616
44,0.478703,0.0027536906,0.4795842,0.41380978,0.4507419,0.39754483,0.43327007,0.4388922,0.4641984,0.48566785,0.4620663,0.50454503,0.15705457
45,0.6395628,0.09335861,0.20295234,0.19475405,0.6097877,0.54727626,0.5845613,0.5963065,0.6056194,0.6203219,0.5989185,0.6276236,0.34903425
46,0.64280623,0.11227191,0.37943023,0.30108035,0.58731323,0.5271107,0.58328676,0.6162675,0.6391832,0.65992415,0.6199317,0.67618734,0.5088733
47,0.59988165,0.0033761468,0.46055368,0.39387476,0.5661978,0.48682854,0.5231076,0.5383005,0.5477667,0.5582759,0.54383665,0.5626569,0.25052014
48,0.49533343,0.054891348,0.3322385,0.24785076,0.4635518,0.40449995,0.42216125,0.43181986,0.4450864,0.4547202,0.4446014,0.4585493,0.25489184
49,0.40640908,0.002135613,0.2917975,0.2327059,0.36584204,0.30775687,0.3219722,0.32613486,0.34495193,0.358062,0.33125034,0.36532024,0.11345759
