t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0,0.3509236,0.16045468,0.21203697,0.19824772,0.30548576,0.26058826,0.27485174,0.29828894,0.32189643,0.33899808,0.3169512,0.34619644,0.2741761
1,0.6410187,0.028830009,0.41310927,0.37396365,0.5179567,0.4450987,0.4934697,0.529763,0.549556,0.57005876,0.4797607,0.5944091,0.41479096
2,0.8168747,0.38880396,0.34873343,0.36171654,0.7983191,0.7013016,0.789309,0.8231302,0.8416122,0.85361874,0.85207736,0.86488485,0.6965293
3,0.8035033,0.034931168,0.44698113,0.2763554,0.7735983,0.6928299,0.7565871,0.7527849,0.76762396,0.81318456,0.7480238,0.8319038,0.21349303
4,0.8043705,0.28023148,0.3037004,0.33873883,0.78302467,0.7026666,0.78027713,0.8204681,0.8334153,0.8466913,0.8363283,0.8518939,0.6854372
5,0.41859543,0.0028343387,0.29085413,0.27455762,0.36202136,0.313576,0.33430842,0.35471493,0.3855485,0.40487796,0.37162584,0.41813836,0.18555917
6,0.1936614,0.0017897139,0.14251083,0.07943016,0.14446706,0.11649528,0.09923859,0.1363222,0.20175561,0.22892877,0.23340085,0.25740117,0.113372155
7,0.41499504,0.01981887,0.6404442,0.48590904,0.4376492,0.4047256,0.47359768,0.5210164,0.56829035,0.6006245,0.63087314,0.63872427,0.4126836
8,0.32246265,0.08431044,0.26409552,0.20520619,0.30005485,0.26606652,0.27542868,0.29989228,0.3357545,0.35691145,0.3632024,0.38061833,0.23790054
9,0.74524677,0.067407034,0.600461,0.46925467,0.682855,0.6547318,0.73595613,0.7632628,0.7858219,0.80621886,0.752259,0.825079,0.54039544
10,0.7572267,0.0040971385,0.40483665,0.28265306,0.7030736,0.65179,0.71440953,0.73362035,0.74838966,0.770942,0.7033277,0.7826735,0.36055198
11,0.79643357,0.022448491,0.54074657,0.39659026,0.7835812,0.7196159,0.7744331,0.7893398,0.80067617,0.81690866,0.79861206,0.8239246,0.45393997
12,0.14403,0.0018425367,0.25224417,0.16408569,0.11582413,0.102085926,0.10616458,0.13537417,0.17813271,0.19823527,0.20426597,0.22844486,0.10228329
13,0.8846816,0.035383373,0.42507163,0.30687875,0.8681087,0.8011971,0.86579305,0.85980695,0.87383664,0.90451586,0.8636843,0.91279536,0.36231208
14,0.47679907,0.0561232,0.34804508,0.30722252,0.36913675,0.3424472,0.38768005,0.42192537,0.45041794,0.47195962,0.40221626,0.4949605,0.35005802
15,0.1261915,0.001421191,0.20758477,0.10540031,0.09678561,0.09342513,0.064691335,0.11475321,0.27588555,0.32849976,0.32397664,0.35506815,0.1394266
16,0.25152552,0.0037817478,0.35418367,0.23558964,0.2575338,0.26319048,0.27805638,0.30888098,0.4153375,0.47326264,0.4424932,0.50922674,0.17280672
17,0.54073405,0.08052908,0.25642174,0.22710603,0.5242572,0.4834571,0.5006435,0.50903773,0.5643965,0.6026019,0.58377564,0.6187295,0.2963859
18,0.95837307,0.023770688,0.475171,0.3238785,0.94279337,0.8893994,0.9381785,0.93309104,0.9428529,0.98185205,0.92740625,0.98973286,0.40045577
19,0.19744425,0.016610596,0.2012406,0.11092251,0.1526509,0.13681965,0.11479397,0.14848717,0.3023935,0.381944,0.36420935,0.42182806,0.094485
20,0.49645168,0.20523828,0.25839752,0.24966891,0.47583565,0.44382352,0.45006418,0.4679161,0.5211473,0.5538168,0.5468518,0.5693462,0.39359954
21,0.88593674,0.008546249,0.5247948,0.394898,0.86642337,0.81526893,0.8630108,0.8620899,0.87160635,0.9022213,0.8627813,0.91543365,0.363958
22,0.13117169,0.0028427688,0.24298485,0.1462792,0.10342011,0.10035143,0.0978225,0.13161106,0.21399745,0.25044665,0.2482355,0.28933766,0.07357889
23,0.84917665,0.01573983,0.4547652,0.33002043,0.8421905,0.7984103,0.85488546,0.85857856,0.87676924,0.90688276,0.8700356,0.9093085,0.41968346
24,0.42965415,0.011957773,0.31581438,0.25280875,0.43810433,0.40415716,0.40635067,0.40918183,0.44980302,0.47995204,0.4927147,0.49806356,0.21735777
25,0.70458317,0.01600495,0.57703304,0.4500993,0.67104465,0.6507667,0.7059031,0.72789294,0.7551443,0.77881235,0.742986,0.7921708,0.45814052
26,0.12753287,0.0014325599,0.23965831,0.13656326,0.10077424,0.09288639,0.08563271,0.10979335,0.17837502,0.21730186,0.2144259,0.24773325,0.053935964
27,0.13095345,0.002528229,0.28435707,0.1742232,0.111696444,0.10638824,0.11350379,0.13473952,0.18394919,0.21452777,0.21320665,0.25111708,0.05343697
28,0.141486,0.001245553,0.30837184,0.18075608,0.121766746,0.11615816,0.13112924,0.1491123,0.1994454,0.23591818,0.23959428,0.280071,0.055315003
29,0.14632297,0.0014501933,0.3251033,0.19664687,0.1252256,0.122236505,0.14400665,0.16599211,0.21418267,0.24847099,0.2475976,0.29037756,0.06410286
